Fund Name:,SPDR® S&P® Biotech ETF,,,,,,
Ticker Symbol:,XBI,,,,,,
Holdings:,As of 09-Apr-2024,,,,,,
,,,,,,,
Name,Ticker,Identifier,SEDOL,Weight,Sector,Shares Held,Local Currency
KINIKSA PHARMACEUTICALS A,KNSA,G5269C101,BD0MGM0,0.285579,-,1147712,USD
CARIBOU BIOSCIENCES INC,CRBU,142038108,BNYJR68,0.276121,-,4411439,USD
MIMEDX GROUP INC,MDXG,602496101,B1Z3TW5,0.231395,-,2348720,USD
ANAPTYSBIO INC,ANAB,32724106,BDRW1L7,0.223304,-,739038,USD
ASTRIA THERAPEUTICS INC,ATXS,04635X102,BMYRFN8,0.205652,-,1275346,USD
TANGO THERAPEUTICS INC,TNGX,87583X109,BP2P6L0,0.19372,-,1792659,USD
ALECTOR INC,ALEC,14442107,BJ4LDC4,0.190667,-,2245611,USD
CULLINAN ONCOLOGY INC,CGEM,230031106,BM90J52,0.188976,-,790690,USD
MERSANA THERAPEUTICS INC,MRSN,59045L106,BF3NP05,0.172728,-,3001883,USD
ORIC PHARMACEUTICALS INC,ORIC,68622P109,BKVDFF7,0.135612,-,905627,USD
VOYAGER THERAPEUTICS INC,VYGR,92915B106,BY7RB53,0.123915,-,971349,USD
ARS PHARMACEUTICALS INC,SPRY,82835W108,BMCR7V2,0.119024,-,909009,USD
CARGO THERAPEUTICS INC,CRGX,14179K101,BQHN2F2,0.115462,-,387711,USD
SCILEX HOLDING CO,SCLX,80880W106,BLKFRT9,0.113336,-,5938074,USD
STATE STREET INSTITUTIONAL LIQ,-,964WKM905,-,0.094905,-,6760413.49,USD
AVITA MEDICAL INC,RCEL,05380C102,BMX0JN6,0.088317,-,420374,USD
US DOLLAR,-,999USDZ92,-,0.024564,-,1750335.29,USD
CONTRA MIRATI THERAPEU,-,604CVR027,-,0.013454,-,1369552,USD
ACHILLION PHARMACE,-,004CVR031,-,0.001059,-,51865,USD
OMNIAB INC   12.5 EARNOUT,2200963D,68218J202,BP0VHM8,0,-,161959,USD
OMNIAB INC   15.00 EARNOUT,2200964D,68218J301,BP0VHL7,0,-,161959,USD
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"DoubleLine® is a registered trademark of DoubleLine Capital LP.

Investing involves risk including the risk of loss of principal.

All information is from SSGA unless otherwise noted and has been obtained from sources believed to be reliable, but its accuracy is not guaranteed.  There is no representation or warranty as to the current accuracy, reliability or completeness of, nor liability for, decisions based on such information and it should not be relied on as such. ",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Distributor: State Street Global Advisors Funds Distributors, LLC, member FINRA(http://www.finra.org), SIPC(http://www.sipc.org), an indirect wholly owned subsidiary of State Street Corporation. References to State Street may include State Street Corporation and its affiliates. Certain State Street affiliates provide services and receive fees from the SPDR ETFs. ALPS Distributors, Inc., member FINRA, is the distributor for DIA, MDY and SPY, all unit investment trusts. ALPS Portfolio Solutions Distributor, Inc., member FINRA, is the distributor for Select Sector SPDRs. ALPS Distributors, Inc. and ALPS Portfolio Solutions Distributor, Inc. are not affiliated with State Street Global Advisors Funds Distributors, LLC.

State Street Global Advisors Funds Distributors, LLC is the distributor for some registered products on behalf of the advisor. SSGA Funds Management has retained Blackstone Liquid Credit Strategies LLC, Nuveen Asset Management, DoubleLine Capital LP & Loomis Sayles as the sub-advisor. State Street Global Advisors Funds Distributors, LLC is not affiliated with Blackstone Liquid Credit Strategies LLC DoubleLine Capital LP, Nuveen Asset Management or Loomis Sayles.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Before investing, consider the funds’ investment objectives, risks, charges and expenses. To obtain a prospectus or summary prospectus, this contains this and other information, call 1-866-787-2257 or visit www.ssga.com. Read it carefully.

Not FDIC Insured * No Bank Guarantee * May Lose Value

© 2024 State Street Corporation - All Rights Reserved.
State Street Global Advisors Funds Distributors, LLC, One Iron Street, Boston, MA 02210

4503082.6.1.AM.RTL
Expiration: 01/31/2025
SPD003358",,,,,,,
